user_id,session_id,date,month,channel,campaign_type,device,user_type,region,visited_website,viewed_product,added_to_cart,checkout_started,purchase_completed,discount_applied,order_value,revenue
221958,1,2025-08-16,2025-08,Organic,New Launch,Mobile,New,Metro,Yes,No,No,No,No,No,499.0,0.0
771155,2,2025-12-16,2025-12,Organic,Influencer,Mobile,New,Non-Metro,Yes,Yes,Yes,No,No,No,499.0,0.0
231932,3,2025-07-17,2025-07,Organic,Influencer,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
465838,4,2025-07-04,2025-07,Paid Ads,Discount,Mobile,Returning,Metro,Yes,Yes,Yes,Yes,Yes,Yes,2000.95,1800.855
359178,5,2025-08-10,2025-08,Paid Ads,Influencer,Mobile,Returning,Non-Metro,Yes,No,No,No,No,No,499.0,0.0
744167,6,2025-11-11,2025-11,Organic,New Launch,Desktop,New,Non-Metro,Yes,Yes,Yes,No,No,No,499.0,0.0
210268,7,2025-12-19,2025-12,Organic,Discount,Desktop,New,Metro,Yes,Yes,No,No,No,No,499.0,0.0
832180,8,2025-11-29,2025-11,Social,Discount,Mobile,Returning,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
154886,9,2025-08-23,2025-08,Paid Ads,Discount,Desktop,Returning,Non-Metro,Yes,No,No,No,No,No,499.0,0.0
237337,10,2025-10-13,2025-10,Social,Discount,Mobile,New,Non-Metro,Yes,Yes,Yes,No,No,No,499.0,0.0
621430,11,2025-09-29,2025-09,Organic,New Launch,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
187498,12,2025-11-04,2025-11,Paid Ads,Discount,Desktop,New,Non-Metro,Yes,Yes,Yes,Yes,No,No,499.0,0.0
999159,13,2025-07-31,2025-07,Social,Discount,Desktop,Returning,Metro,Yes,Yes,No,No,No,No,499.0,0.0
275203,14,2025-07-09,2025-07,Organic,Discount,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
291335,15,2025-08-22,2025-08,Organic,Discount,Desktop,New,Metro,Yes,Yes,No,No,No,No,499.0,0.0
378167,16,2025-11-01,2025-11,Organic,New Launch,Mobile,New,Metro,Yes,No,No,No,No,No,499.0,0.0
141090,17,2025-07-02,2025-07,Organic,Discount,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
429365,18,2025-11-25,2025-11,Organic,Discount,Desktop,Returning,Metro,Yes,No,No,No,No,No,499.0,0.0
164820,19,2025-10-28,2025-10,Email,New Launch,Mobile,Returning,Metro,Yes,No,No,No,No,No,499.0,0.0
887201,20,2025-10-14,2025-10,Paid Ads,Influencer,Desktop,Returning,Metro,Yes,Yes,Yes,Yes,No,No,499.0,0.0
421879,21,2025-07-04,2025-07,Email,New Launch,Mobile,New,Metro,Yes,Yes,Yes,No,No,No,499.0,0.0
818315,22,2025-12-19,2025-12,Organic,New Launch,Mobile,Returning,Non-Metro,Yes,No,No,No,No,No,499.0,0.0
427069,23,2025-08-31,2025-08,Paid Ads,New Launch,Mobile,Returning,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
876997,24,2025-07-13,2025-07,Paid Ads,Discount,Mobile,New,Non-Metro,Yes,No,No,No,No,No,499.0,0.0
299041,25,2025-10-21,2025-10,Organic,Discount,Desktop,Returning,Non-Metro,Yes,Yes,No,No,No,No,499.0,0.0
891743,26,2025-11-25,2025-11,Paid Ads,Influencer,Mobile,New,Metro,Yes,No,No,No,No,No,499.0,0.0
